sub_id,turf_id,coop,state,species,common_name_spanish,scientific_name,common_name_english,aphia_id
31_1,MX_C_031,S.C.P.P. CALIFORNIA DE SAN IGNACIO,BCS,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
31_1,MX_C_031,S.C.P.P. CALIFORNIA DE SAN IGNACIO,BCS,PEPINO DE MAR,PEPINO DE MAR,Holothuroidea,Sea Cucumber,123083
31_1,MX_C_031,S.C.P.P. CALIFORNIA DE SAN IGNACIO,BCS,PULPO,PULPO,Octopus vulgaris,Common Octopus,140605
32_1,MX_C_032,S.C.P.P. LEYES DE REFORMA,BCS,ABULON (Haliotis spp.),ABULON,Haliotis spp.,Abalone,138050
32_1,MX_C_032,S.C.P.P. LEYES DE REFORMA,BCS,CARACOL PANOCHA,CARACOL PANOCHA,Megastraea undosa,Wavy Turban Snail,528084
32_1,MX_C_032,S.C.P.P. LEYES DE REFORMA,BCS,CANGREJO,CANGREJO,NA,NA,NA
32_1,MX_C_032,S.C.P.P. LEYES DE REFORMA,BCS,SARGAZO ROJO (Gelidium robustum),SARGAZO ROJO,Gelidium robustum,Red Algae,372718
32_1,MX_C_032,S.C.P.P. LEYES DE REFORMA,BCS,PEPINO DE MAR,PEPINO DE MAR,Holothuroidea,Sea Cucumber,123083
32_1,MX_C_032,S.C.P.P. LEYES DE REFORMA,BCS,PULPO,PULPO,Octopus vulgaris,Common Octopus,140605
30_1,MX_C_030,S.C.P.P. PUNTA ABREOJOS,BCS,NODATA,NODATA,NA,NA,NA
29_1,MX_C_029,S.C.P.P. EJIDAL CADEJE,BCS,ABULON (Haliotis spp.),ABULON,Haliotis spp.,Abalone,138050
29_1,MX_C_029,S.C.P.P. EJIDAL CADEJE,BCS,LANGOSTA (Panulirus spp.),LANGOSTA,Panulirus spp.,Lobster,107060
29_1,MX_C_029,S.C.P.P. EJIDAL CADEJE,BCS,ALMEJA PISMO (Tlvela stuitorum),ALMEJA PISMO,Tivela stultorum,Pismo Clam,367761
29_1,MX_C_029,S.C.P.P. EJIDAL CADEJE,BCS,CARACOL PANOCHA,CARACOL PANOCHA,Megastraea undosa,Wavy Turban Snail,528084
27_1,MX_C_027,S.C.P.P. PUNTA LOBOS,BCS,LANGOSTA ROJA (Panuliru interruptus),LANGOSTA ROJA,Panulirus interruptus,California Spiny Lobster,382898
27_1,MX_C_027,S.C.P.P. PUNTA LOBOS,BCS,LANGOSTA AZUL (Panulirus inflatus),LANGOSTA AZUL,Panulirus inflatus,Blue Spiny Lobster,382897
27_1,MX_C_027,S.C.P.P. PUNTA LOBOS,BCS,OSTION DE ROCA (Crassostrea iridescens),OSTION DE ROCA,Striostrea prismatica,Rock Oyster,506739
26_1,MX_C_026,S.C.P.P. TODOS SANTOS,BCS,LANGOSTA VERDE (Panulirus gracilis),LANGOSTA VERDE,Panulirus gracilis,Green Spiny Lobster,382895
